token,count
dicussion,1
did,736
didn,266
die,23
dieball,3
died,16
dieg,2
diegans,2
diego,683
diesel,76
diesels,2
dieting,1
dietmar,2
dietrich,15
dietz,1
dif,1
differ,9
differed,5
difference,114
differences,50
different,222
differential,3
differentials,5
differentiate,1
differently,12
differs,10
difficult,168
difficulties,24
difficulty,37
diffuse,2
diffusion,2
dig,4
digest,15
digestible,5
digging,13
digit,3
digital,20
digitalmass,2
dignity,7
dilemma,16
diligence,11
diligent,7
dillingham,7
dillon,1
dilute,1
diluted,4
dilution,1
dim,17
dimare,1
dime,16
dimension,4
dimensional,3
dimensions,2
dimicco,2
diminish,8
diminished,15
diminishing,4
dimly,1
dimmed,5
dimming,1
dimness,1
dindarova,9
dine,3
dining,4
dinner,34
diocese,2
diomedes,7
dion,12
dioxide,26
dioxides,2
dip,33
diplomacy,4
diplomat,8
diplomats,1
dipped,37
dipping,5
dips,6
dire,54
direcor,5
direct,182
directed,42
directing,19
direction,96
directional,2
directions,8
directive,11
directives,2
directly,139
directness,1
directo,1
director,649
directors,85
directory,2
directs,20
dirk,8
dirt,7
dirtier,10
dirtiest,7
dirty,11
disabilities,4
disability,16
disabled,19
disables,1
disadvantage,4
disadvantaged,1
disaggregated,1
disagree,24
disagreed,23
disagreement,22
disagreements,2
disagrees,10
disallowance,1
disallowing,1
disappear,19
disappearance,1
disappeared,6
disappearing,15
disappears,4
disappoint,3
disappointed,9
disappointing,11
disappointment,15
disapproval,4
disapprove,4
disapproved,7
disapproving,2
disarming,1
disassemble,1
disassociating,1
disaster,70
disasters,12
disastrous,13
disavow,1
disband,1
disbursals,1
disbursed,1
disbursement,3
disbursements,2
disc,4
discarded,8
discernable,4
discharge,9
discharged,1
discharges,7
disciplinary,3
discipline,11
disciplined,5
disclaimer,2
disclaims,1
disclose,33
disclosed,71
discloses,3
disclosing,6
disclosure,78
disclosures,26
discombobulation,2
disconnect,7
discontent,3
discontinued,8
discount,44
discounted,5
discounting,2
discounts,22
discourage,67
discouraged,8
discourages,12
discouraging,5
discourse,2
discover,5
discovered,10
discoveries,3
discovers,2
discovery,27
discredit,1
discreetness,1
discrepancies,8
discrepancy,2
discretely,2
discretion,20
discretionary,5
discrim,1
discriminated,7
discriminating,3
discrimination,26
discriminative,2
discriminatory,10
discuss,245
discussants,2
discussed,118
discusses,24
discussing,24
discussion,145
discussions,94
disdain,9
disease,9
diseased,1
disenfranchised,2
disengage,6
disfunctional,1
disgorged,1
disgorgement,1
disgrace,9
disgruntled,4
disguise,1
disguised,2
disguises,6
disgusted,3
disgusting,3
dish,2
dishes,11
dishonest,1
dishonorable,2
dishwasher,6
dishwashers,1
disincentive,1
disincentives,1
disinfected,2
disinformation,2
disingenous,1
disingenuity,1
disingenuous,3
disk,1
dislike,2
dismal,5
dismantled,1
dismayed,2
dismiss,6
dismissed,56
dismisses,5
dismissing,5
dismissive,2
dismissively,2
disney,21
disneyland,8
disneylands,1
disorder,2
disparities,1
disparity,10
dispatch,60
dispatched,16
dispel,4
dispersed,1
dispersing,2
dispersion,1
displaced,1
display,7
displayed,4
displays,5
disposal,3
dispose,1
disposed,2
disposition,6
disproportionate,1
disproportionately,5
dispute,66
disputed,22
disputes,25
disputetoolkit,1
disputing,3
disqualifies,3
disregard,1
disrtibuted,1
disrupt,7
disrupted,4
disrupting,6
disruption,7
disruptions,11
disruptive,5
disrupts,6
dissatisfaction,2
dissatisfied,2
disseminate,3
dissemination,17
dissent,2
dissented,2
dissenter,2
dissenters,4
dissenting,4
dissertation,4
dissipate,2
dissipated,9
dissolved,1
distance,24
distanced,3
distances,3
distancing,4
distant,16
distantes,1
distasio,2
distcos,2
distillate,2
distilling,2
distinct,2
distinction,24
distinctions,1
distinguish,7
distinguished,3
distort,9
distorted,8
distorting,1
distortions,2
distorts,5
distract,1
distracted,3
distraction,2
distress,24
distressed,3
distribute,29
distributed,51
distributing,12
distribution,140
distributions,3
distributor,9
distributors,11
districst,2
district,271
districts,61
distrust,2
distrustful,2
disturbance,1
disturbances,4
disturbed,8
disturbing,9
ditch,4
dithered,7
dithering,9
dito,1
dittmer,17
ditto,1
divagarza,1
divall,1
dive,5
dived,1
divergence,1
divergent,2
diverse,24
diversification,1
diversified,8
diversify,3
diversion,6
diversity,8
divert,7
diverted,5
divest,3
divested,3
divestiture,10
divestitures,3
divestitute,2
divestment,1
divesture,5
divide,18
divided,37
dividend,9
dividends,12
dividing,2
diving,2
divisadero,5
division,74
divisions,3
divorce,2
divulge,9
divulged,3
divvied,1
divvy,3
dixie,2
diz,1
dizzying,5
dj,8
djb,1
djcustomclips,2
djensen,2
djinteractive,3
djip,1
djn,1
djnr,2
djohn,2
djray,1
djsmith,2
dkasler,14
dkincheloe,1
dking,3
dkirkla,2
dkk,5
dlazarus,33
dlh,3
dljmb,1
dlrs,3
dlsmith,2
dlugar,1
dlynch,1
dm,7
dma,6
dmbutz,1
dmcwash,2
dmcwilliams,1
dmitri,2
dmodis,1
dmv,9
dn,6
dnb,2
dnc,5
dnelsen,3
dnissenbaum,3
dnr,2
do,1474
dobler,1
doc,202
docket,2
dockets,3
docklands,1
docs,1
doctor,4
doctoral,2
doctorate,3
doctors,9
doctrine,3
document,102
documentary,2
documentation,22
documented,5
documenting,1
documents,358
doda,3
dodd,2
dodge,4
dodged,3
dodgen,9
dodges,5
doe,55
does,581
doesn,355
dog,58
dogged,3
doggett,1
doggy,1
dogs,11
doing,297
doj,10
dole,3
doled,1
dollar,186
dollarization,1
dollars,467
dolly,2
dolores,3
dolphin,6
dom,2
domain,27
dombrowski,7
dome,1
domenici,1
domestic,102
domestically,1
dominance,8
dominant,25
dominantly,3
dominate,5
dominated,14
dominates,5
dominating,1
dominic,1
dominican,6
dominion,11
domino,1
dominoes,6
domke,1
don,894
donahue,1
donal,5
donald,7
donaldson,4
donate,1
donated,9
donating,1
donation,9
donations,22
done,384
donelson,2
donley,35
donn,3
donna,72
donne,10
donned,4
donnell,32
donnelly,7
donnie,2
donor,1
donors,25
donovan,3
donw,1
doolan,21
doom,8
doomed,4
doomsday,1
door,82
doornbos,2
doors,32
doorstep,5
doot,1
dorado,2
dorchester,3
dorgan,2
dorinson,51
dorland,1
dormant,3
dornin,20
doron,1
dorothy,11
dortha,1
dory,2
dos,7
dose,9
dot,18
dotson,1
dotted,1
doty,15
double,84
doubled,24
doubles,2
doubletree,3
doubling,9
doubly,1
doubt,38
doubted,22
doubtful,6
doubts,14
doucet,1
doug,79
dougherty,1
douglas,45
douglass,20
dove,2
dovetailing,1
dovetails,1
dow,587
dowall,15
dowd,1
dowden,1
dowell,1
dowj,2
dowjones,66
down,1054
downbeat,2
downed,5
downey,1
downfall,1
downfalls,1
downgrade,80
downgraded,51
downgrades,13
downgrading,3
downhearted,1
download,24
downloadable,1
downloaded,5
downloading,1
downplayed,12
downright,6
downs,9
downside,13
downsides,5
downsizing,2
downstate,9
downstream,4
downtown,90
downtrend,1
downturn,5
downward,12
downwind,9
doyle,2
dozen,86
dozens,50
dparque,2
dpc,51
dperlman,2
dpl,1
dpr,2
dpuc,1
dr,32
draconian,1
draft,211
draftcommentsonbartonrto,1
drafted,32
drafting,20
drafts,5
drag,16
dragged,27
dragging,13
drags,8
drain,47
drained,16
draining,16
drains,4
drake,5
drama,4
dramatic,47
dramatically,52
dramatization,5
drapes,6
drastic,14
drastically,9
draw,43
drawback,14
drawbacks,9
drawdown,2
drawdowns,2
drawing,24
drawn,46
draws,4
drayton,2
dread,2
dreaded,1
dreadful,1
dreading,6
dreads,2
dream,9
dreamed,9
dreaming,2
dreams,5
dreariest,2
dreary,5
dreier,6
dress,13
dressler,2
drew,56
drexel,1
dreyfus,1
dribble,3
driest,3
drift,2
drifted,1
drill,7
drilled,2
driller,1
drillers,3
drilling,35
drink,4
drinking,15
drinks,1
drip,2
dripping,5
drips,2
driscoll,5
drive,235
driven,63
driver,13
drivers,40
drives,26
driveway,2
driving,74
drivon,17
droark,1
drop,258
dropoff,3
dropped,143
dropping,44
drops,11
drothrock,1
drought,42
droughts,5
drove,27
drowned,2
drowning,1
drtrevino,1
drug,23
drugs,12
drum,7
drumbeat,1
dry,33
dryer,3
dryers,17
drying,4
dsalvosa,2
dsg,2
dsgeorge,4
dsi,2
dsicuss,1
dsis,2
dsl,1
dsm,7
dsmo,2
dsu,1
dswgphx,1
dt,1
dte,16
dth,1
dtl,151
dtodd,5
dtom,2
dual,14
duane,5
duarte,1
dub,6
dubai,1
dubbed,11
dubious,6
dubiously,5
dublin,45
ducheny,2
duck,1
duct,1
ducts,3
dude,12
dudley,2
due,326
duel,5
duenner,1
dues,9
duff,3
duffie,1
duffy,3
dug,7
duk,10
duke,363
dulce,2
dulcy,3
dull,1
dulls,6
duluth,2
duly,1
dumb,3
dump,13
dumped,4
dumper,1
dumping,9
duncan,24
dung,1
dunlap,2
dunn,128
duo,4
duplicate,2
duplicates,7
duplicating,2
duplicative,1
dupont,3
dupre,8
duque,2
durable,1
duran,5
duration,18
durations,5
durbin,1
durell,8
duress,5
durgin,1
durham,2
during,1208
durk,1
dusseldorf,1
dust,10
dustin,1
dusty,2
dutch,55
dutied,1
duties,15
dutkogroup,1
dutta,2
duty,19
duy,5
dvd,2
dwalters,9
dwarf,1
dwatkiss,22
dwell,2
dweller,5
dwellers,3
dwellings,7
dwgp,2
dwhitney,3
dwight,1
dwilliams,2
dwindle,3
dwindled,6
dwindles,1
dwindling,4
dwp,72
dwr,305
dwt,4
dwyer,11
dyenegy,2
dyer,1
dykes,2
dylan,1
dymw,6
dymwsm,6
dyn,17
dynamic,22
dynamics,24
dynegy,796
dynegydirect,1
dynegyfield,4
dynergy,1
dynh,3
dysfunction,2
dysfunctional,31
dyson,5
dystrophy,1
e,3956
ea,1
each,450
eachus,4
eads,15
eager,23
eagle,14
ear,9
earl,2
earle,1
earlene,2
earlier,369
earliest,11
earls,6
early,379
earmark,3
earmarked,6
earmarking,7
earn,20
earned,29
earner,1
earners,2
earning,9
earnings,130
earns,6
earo,2
ears,6
earth,37
earthjustice,1
earthlink,12
earthquake,28
earthquakes,11
earthy,1
earvin,1
ease,104
eased,24
easement,1
easements,1
eases,9
easier,69
easiest,4
easily,59
easing,43
easley,1
east,168
eastbound,3
eastern,87
easterners,1
easton,1
easy,49
eat,18
eater,2
eateries,3
eating,3
eb,15
ebay,1
ebazar,9
eberts,4
ebitda,1
ebiz,3
ebnet,3
ebs,45
ec,4
ecar,5
ecently,2
echelon,1
echevarria,2
echo,5
echoed,9
echoing,4
ecke,9
eckert,10
eclipsed,5
eclipsing,1
eco,1
ecological,5
ecologically,2
ecolon,1
ecom,14
econ,8
econometrics,1
economic,318
economical,10
economically,23
economics,72
economies,25
economist,126
economists,93
economou,1
economy,341
ecosystem,3
ecotek,2
ecotopia,2
ecow,7
ect,2118
ectric,14
ectrl,20
ed,219
edc,1
eddie,10
edelman,9
edf,9
edge,41
edgecliffe,1
edged,3
edgerly,2
edges,5
edgillespie,1
edgley,1
edgy,6
edi,4
edicts,5
edinburgh,1
edison,2344
edisonnews,2
edit,2
edited,4
editing,2
edition,266
editions,2
editor,39
editorial,44
editorials,15
editors,11
edits,7
edmiston,6
edmonds,4
edmund,13
edon,1
edoty,1
edson,6
edt,71
edu,93
educate,5
educated,3
educating,2
education,73
educational,8
edward,58
edwards,26
edwin,5
eecc,1
eedu,4
eee,1
eeft,2
eei,27
eeidraftlegtexttoepsa,1
eel,1
eemc,31
eenron,1
eeo,6
eeoc,2
ees,2388
eese,2
eeshou,2
eetc,2
efa,4
efax,1
efet,12
effect,368
effective,85
effectively,82
effectiveness,19
effects,99
effectuate,1
effectuated,2
efficacy,1
efficiencies,4
efficiency,89
efficient,193
efficiently,29
effort,299
efforts,318
effusive,2
eficaz,1
efletcher,1
efs,3
eg,25
ega,6
egas,3
egelko,3
egep,1
egg,7
eggleston,8
eggs,4
egm,6
ego,4
egregious,6
egroups,1
egypt,2
eh,8
ehokkanen,1
ehrlichman,2
ehronline,2
ehs,4
ehud,2
ehughes,2
ei,6
eia,3
eick,1
eidy,1
eight,102
eighteenth,2
eighth,17
eighty,2
eileen,3
eileenk,2
eilperin,2
eim,12
eis,10
eisb,10
eisenhower,2
eisenman,4
either,225
eix,39
ej,1
ejgd,1
ejl,1
ekg,2
eklund,1
ekstrom,4
el,362
ela,4
elaborate,14
elaborated,1
elaine,13
elapses,3
elastic,1
elasticity,1
elc,4
elcon,8
elder,5
elderly,16
ele,7
elec,6
elect,9
elected,61
election,154
elections,31
electoral,11
electrabel,7
electrcity,2
electric,1842
electrica,2
electrical,181
electrically,6
electrician,2
electricit,5
electricite,2
electricity,5429
electricty,6
electrification,2
electrify,1
electrobolt,2
electrocute,2
electromagnetic,3
electron,2
electronic,38
electronically,7
electronics,3
electrons,31
elects,1
elegance,2
elegant,3
elektro,5
element,14
elementary,9
elements,48
elena,4
elephant,16
eletke,6
eletrobras,1
elevated,8
elevates,2
elevating,3
elevation,1
elevator,36
elevators,43
eleven,7
eleventh,2
elf,1
elgin,2
eli,1
elia,1
elicit,2
elicited,1
eligibility,1
eligible,29
eliminate,54
eliminated,12
eliminates,10
eliminating,15
elimination,10
elio,1
elisa,2
elise,2
elite,6
elites,2
elitism,2
eliz,3
elizabeth,112
elk,11
elkins,3
elkorn,2
ellen,6
eller,1
ellerbrook,1
ellery,3
ellicott,2
ellingwood,10
elliot,2
elliott,4
elliottsa,2
ellis,14
ellison,6
ellsworth,1
eln,1
elpaso,36
elsa,2
else,150
elsewhere,130
elsinore,20
elspeth,5
elspetrh,1
elt,1
elton,1
eludes,8
elusive,8
elweb,1
elyse,4
em,10
email,176
emailing,3
emaillink,1
emails,9
emanating,1
emarketer,3
embarcadero,8
embargo,7
embargoes,1
embark,3
embarked,2
embarking,5
embarrass,1
embarrassed,1
embarrassment,12
embassies,1
embassy,5
embattled,7
embedded,22
embodies,5
embodiment,2
embody,3
embodying,3
embrace,8
embraced,12
embraces,1
embracing,3
embroiled,1
emden,9
emediamillworks,4
emeet,1
emelvin,2
emerge,22
emerged,63
emergence,9
emergencies,183
emergency,555
emergengy,1
emerges,4
emerging,23
emeritus,11
emerson,16
emery,7
emeryville,3
emesih,1
emf,8
emilie,2
emily,44
eminent,20
emirates,6
emission,38
emissions,137
emit,9
emits,4
emitted,4
emitting,6
eml,1
emling,1
emmissions,1
emotion,4
emotional,1
emphasis,47
emphasise,1
emphasize,12
emphasized,16
emphasizes,13
emphasizing,8
emphatic,7
emphatically,3
empire,11
empirical,5
employ,10
employed,21
employee,90
employees,363
employer,14
employers,17
employing,7
employment,43
employs,8
empol,2
empower,4
empowered,4
empres,3
empresa,2
empresas,3
emptied,2
empting,7
emptive,4
emptivebasis,1
empty,6
emptying,4
emrsn,3
ems,5
emshaven,3
emshwiller,22
emss,1
emulate,3
emyerskerbal,2
en,11
ena,67
enable,11
enabled,6
enables,8
enabling,2
enact,14
enacted,35
enacting,4
enactment,4
enamored,4
enargas,1
encal,3
enchilada,2
encina,9
encinitas,3
encino,2
encircles,1
enciso,7
enclave,1
enclosed,12
encoding,6
encounter,2
encountered,3
encountering,2
encourage,139
encouraged,60
encouragement,2
encourages,13
encouraging,37
encyclopedic,2
end,563
endangered,20
endangering,10
endear,2
endeavor,1
ended,90
ender,10
endesa,1
ending,39
endless,5
endorse,28
endorsed,29
endorsement,14
endorsements,1
endorses,6
endorsing,14
endow,2
ends,79
endure,16
endured,11
enduring,8
ene,35
eneco,1
enel,3
enemies,6
enemy,4
enerfactsdaily,2
enerfax,42
enerfaxdaily,4
enerfaxgold,2
energ,3
energetic,3
energetically,2
energia,8
energiekontor,6
energiened,3
energis,3
energize,2
energy,8159
energyadvocates,8
energyandutilities,1
energyattorney,2
energycommerce,2
energyguide,1
energyhumorjan,1
energysaver,6
enernetdaily,2
enernetenergy,2
enerson,2
enery,1
enet,6
enforce,33
enforceable,10
enforced,6
enforcement,67
enforcing,17
enfrentar,1
eng,4
engage,21
engaged,37
engagement,1
engagements,6
engages,6
engaging,6
engberg,2
engelhardt,2
engeng,1
engine,17
engineer,35
engineered,3
engineering,42
engineers,21
engines,15
england,74
englehardt,1
engler,3
english,59
engr,2
engulfed,5
engulfing,3
enhance,24
enhanced,13
enhancement,1
enhancements,2
enhances,4
enhome,6
eni,1
enjoin,4
enjoy,28
enjoyed,15
enjoying,9
enjoyment,1
enjoys,3
enlarged,4
enlightening,2
enlisted,2
enlivens,1
enmity,5
enmo,2
ennis,2
ennore,4
enormity,1
enormous,44
enormously,10
enough,725
enp,2
enquiries,1
enriched,1
enrichment,7
enrnq,1
enro,1
enrolled,1
enron,9139
enroncredit,3
enrononline,35
enronrichard,1
enrons,1
enronxgate,318
enroute,1
ens,1
ense,1
ensor,16
enstein,5
ensue,1
ensued,2
ensure,183
ensured,9
ensures,9
ensuring,22
ent,2
entail,8
entails,3
entelnet,1
enter,82
enterd,1
entered,33
entergy,32
entering,37
enterprice,2
enterprise,74
enterprises,9
enters,7
entertain,2
entertainer,2
entertaining,4
entertainment,15
enthused,1
enthusiasm,9
enthusiastic,3
enthusiastically,1
enthusiasts,3
entice,10
enticed,3
enticing,2
entire,161
entirely,29
entirety,2
entities,120
entitle,1
entitled,42
entitlement,4
entity,80
entouch,2
entp,8
entrance,12
entrant,1
entrants,8
entrepreneur,2
entrepreneurial,5
entrepreneurs,9
entries,4
entry,15
envelope,1
envelopes,2
enviable,5
envious,2
enviro,2
environment,109
environmental,268
environmentalist,2
environmentalists,64
environmentally,36
environments,3
environnement,2
envision,10
envisioned,10
envisions,16
envolved,4
enw,1
enxco,1
eny,4
enzymes,2
eob,24
eogil,4
eogr,1
eol,6
eon,3
eott,23
ep,2
epa,25
epadill,2
epc,1
epe,2
epelectric,10
epenergy,3
epg,5
ephasizing,1
epicdwake,1
epicenter,1
epidemic,1
epiphanies,2
epis,6
episcopalian,2
episode,9
epithets,2
epmi,30
epng,12
epon,3
epri,6
epsa,86
epsc,7
epsilon,4
equal,22
equalization,4
equally,27
equalpay,1
equals,12
equate,2
equation,15
equilibria,1
equilibrium,3
equilon,24
equip,2
equipment,140
equipped,24
equitable,2
equities,12
equity,103
equivalent,50
equivalents,1
equivlent,1
er,7
era,14
eram,1
erase,1
erased,3
erases,4
erasing,3
ercot,24
erect,4
erected,4
erequest,2
eric,94
erica,7
ericj,1
erickson,3
erik,5
erika,8
erin,7
erisa,2
erives,1
erl,1
erle,1
ernaut,2
ernest,4
ernie,4
ernst,5
eroding,5
erols,2
erosion,12
errands,3
errata,3
erred,1
errigo,1
erroneous,2
erroneously,2
error,34
errors,13
ers,1
erupted,17
erupting,5
eruption,1
erwin,3
es,4
esc,7
esca,14
escalante,4
escalate,5
escalated,9
escalating,30
escalation,8
escalator,3
escalators,34
escapades,1
escape,35
escaped,7
escaping,2
escondido,118
escort,24
escorted,11
escrow,5
eserver,2
eshoo,5
esi,8
eskew,3
eslawfirm,13
esmtp,5
esoteric,6
esp,4
esparto,2
espeak,1
especially,141
espinoza,1
espn,1
esposito,1
esps,1
esq,2
ess,1
essay,6
essdras,1
essen,4
essence,18
essential,74
essentially,55
essentials,1
est,22
esta,1
estabelecer,1
establish,58
established,52
establishes,3
establishing,7
establishment,14
establishments,4
estados,1
estanford,1
estatal,2
estate,57
estates,3
estimate,70
estimated,216
estimates,156
estimating,3
estimation,3
estoppel,6
estranged,2
estrangeiras,1
estrat,1
estudos,1
esvl,4
esxercise,2
eszol,2
et,90
eta,2
etag,1
etc,109
etch,2
etcheverry,3
etchouston,1
eternal,3
eternity,5
ethan,1
ethanol,15
ethernet,2
ethic,11
ethical,2
ethically,8
ethics,6
ethink,1
ethnic,1
ethnicity,2
ethos,1
etkin,2
etol,15
etoolson,1
etringer,9
ets,46
eu,47
eua,1
eudora,2
eudoramail,2
euenronxgate,27
eugene,9
euphemisms,1
euphoric,3
eur,6
eureka,3
euro,5
euroflash,1
euronet,1
euronext,2
europe,103
european,57
europeans,3
euros,15
eurostat,1
eva,16
evacuating,2
evacuation,22
evade,5
evaders,2
evading,2
evaluate,25
evaluated,6
evaluating,12
evaluation,11
evaluations,3
evan,14
evans,8
evansville,1
evaporate,3
evaporated,3
evaporates,2
evaporating,1
eve,3
evelio,1
evelyn,10
even,935
evenhanded,1
evenhandedly,2
evening,55
evenings,1
evenly,12
event,126
events,108
eventual,7
eventually,99
ever,153
evergreen,1
every,306
everybody,94
everyday,11
everyone,187
everything,126
everytime,1
everywhere,3
evicted,1
evidence,179
evidenced,10
evident,19
evidentiary,8
evidently,9
evil,8
evils,1
eviscerated,2
evoked,2
evolution,8
evolutionary,5
evolve,3
evolved,4
evolving,7
evsl,3
ewald,1
ewc,4
ewisc,1
ewrm,1
ews,37
ex,121
exacerbate,6
exacerbated,25
exacerbates,3
exacerbating,9
exact,28
exactly,110
exaggerate,2
exaggerated,3
examination,16
examinations,1
examine,42
examined,20
examines,5
examining,15
example,228
examples,13
exams,1
exasperating,5
exceed,88
exceeded,65
exceeding,20
exceeds,10
excel,4
excelled,1
excellence,1
excellent,13
except,73
exception,15
exceptional,2
exceptionally,3
exceptions,6
excerpt,3
excerpts,4
excess,101
excessive,57
excessively,16
exchange,498
exchanged,1
exchangehole,1
exchanges,16
exchanging,2
excising,1
excited,6
excitement,2
excites,1
exciting,7
exclamation,5
exclude,1
excluded,7
excludes,1
excluding,25
exclusion,5
exclusive,15
exclusively,14
exclusivity,3
excom,1
excoriated,2
excursion,1
excuse,7
excused,2
excuses,4
exe,2
exec,17
execs,1
execsummary,2
exectutive,1
execute,3
executed,16
executing,4
execution,12
executioner,2
executive,618
executives,295
executivo,1
executor,1
exelon,5
exeloncorp,1
exemplifies,2
exemplifying,1
exemplo,2
exempt,108
exempted,56
exempting,15
exemption,41
exemptions,54
exempts,6
exercido,1
exercise,81
exercised,32
exercises,3
exercising,33
exert,3
exerted,4
exerting,8
exh,3
exhaling,2
exhaust,7
exhausted,8
exhaustion,1
exhaustive,4
exhbits,3
exhibit,35
exhibiting,1
exhibition,2
exhibits,8
exile,1
exim,17
exist,25
existe,1
existed,19
existence,14
existent,2
existing,259
exists,28
exit,14
exited,1
exiting,1
exludes,1
exodus,7
exonerated,3
exoneration,2
exorbitant,26
exorbitantly,2
exotic,5
expand,75
expanded,93
expanding,32
expands,8
expansion,82
expansions,5
expatriate,6
expatriates,10
expats,2
expect,227
expectation,14
expectations,36
expected,834
expecting,16
expects,147
expediency,1
expedient,5
expedite,22
expedited,34
expediting,11
expeditious,2
expeditiously,3
expelled,2
expenditure,12
expenditures,31
expense,77
expenses,62
expensexms,1
expensive,180
experience,68
experienced,78
experiences,2
experiencing,9
experiment,39
experimented,2
experimenting,2
experiments,5
expert,45
expertfinder,14
expertise,31
experts,282
expiration,11
expire,30
expired,14
expires,10
explain,66
explained,28
explaining,35
explanation,48
explanations,6
explicit,9
explicitly,6
explode,4
exploded,2
explodes,3
exploding,1
exploit,10
exploited,3
exploiting,4
exploration,24
exploratory,3
explore,29
explored,7
explorer,11
explorers,2
explores,3
exploring,23
explosion,5
explosive,9
exponent,7
exponentially,1
export,47
exported,1
exporter,2
exporters,37
exporting,3
exports,23
expose,3
exposed,16
exposing,5
exposure,69
exposures,1
expounding,2
express,70
expressed,83
expresses,3
expressing,13
expression,2
expressions,1
expressly,1
expropriate,2
expropriation,2
ext,39
extant,1
extend,99
extended,66
extending,31
extends,4
extension,100
extensions,1
extensive,37
extensively,9
extent,76
external,27
externally,3
extinguish,7
extinguished,3
extinguishers,3
extortion,11
extra,86
extract,23
extracted,7
extracting,1
extraction,17
extracts,2
extraditing,1
extramarital,2
extraneous,1
extraordinaire,1
extraordinarily,11
extraordinary,33
extras,1
extremamente,1
extreme,37
extremely,73
extremism,2
extremists,1
extricate,3
exuberantly,5
exulted,2
exxon,9
exxonmobil,6
eye,23
eyebrows,6
eyed,4
eyeing,5
eyes,28
ez,3
ezickson,1
f,146
fa,16
fabian,2
fabiani,28
fabio,1
fabric,5
fabrication,2
fabricio,1
fabulous,3
face,247
faced,74
faceless,1
faces,49
facetious,2
facey,1
facial,1
facie,8
facile,5
facilitate,19
facilitator,1
facilites,1
facilitiate,1
facilities,472
facility,150
facing,114
facsimile,12
fact,298
faction,2
facto,4
factor,67
factored,2
factories,17
factors,120
factory,11
facts,65
factsheet,1
factsheets,1
factual,3
factually,1
faculty,11
fade,4
faded,2
fades,5
fading,4
fadness,2
fahey,1
fail,45
failed,199
failing,73
failings,3
fails,47
failure,184
failures,5
fair,209
fairchild,2
faircloth,2
fairfield,7
fairgrounds,98
fairly,51
fairness,20
fairways,1
fairy,7
faith,57
faithfully,1
falar,1
faldyn,1
fall,249
fallback,2
fallen,84
falling,69
falloff,2
fallon,7
fallout,21
falls,61
false,11
faltered,4
faltering,2
fame,6
familiar,93
familiarise,3
familiarity,1
families,27
family,72
famous,3
fan,8
fancy,13
fanned,3
fans,30
fantastic,13
faq,5
far,688
faraway,2
farc,5
farcical,1
fare,9
fared,2
fares,3
farewell,2
fargo,15
faring,3
farley,1
farm,61
farmer,8
farmers,56
farms,66
farnsworth,3
farr,13
farrell,1
farther,6
farthest,5
farts,1
fascinating,1
fases,1
fashion,27
fashioned,6
fashioning,1
fast,86
fasten,1
faster,25
fastest,19
fastow,47
fasttv,1
fat,12
fatal,1
fatally,7
fate,25
father,26
fatigue,1
fatimata,1
faucet,2
faucets,12
faulk,7
fault,26
faulted,13
faulting,7
faults,4
faulty,8
faux,1
favate,1
favor,71
favorable,33
favorably,4
favored,32
favoring,5
favorite,18
favoritism,3
favors,38
favour,1
favourable,4
favoured,1
favourite,3
fax,146
faxed,8
faxes,8
faxing,2
fay,10
faz,3
fazed,3
fb,15
fbi,7
fbm,4
fc,2
fcc,8
fcel,5
fdch,2
fderosa,2
fdf,2
fe,7
fea,10
fear,97
feared,21
fearing,16
fears,60
fearsome,1
feasibility,1
feasible,22
feature,20
featured,4
features,22
featuring,3
feb,101
february,274
fec,1
fed,40
feder,3
federa,2
federal,2005
federalized,1
federally,3
federation,9
fedex,5
feds,24
fee,80
feebly,1
feed,23
feedback,32
feedbag,2
feeding,3
feeds,10
feehery,2
feel,196
feeling,13
feelings,6
feels,41
fees,84
feet,87
feik,1
feingold,1
feinstein,319
feld,6
feldschloesschen,3
felecia,8
felicia,3
felix,4
fell,119
felled,3
fellow,86
fellows,1
felonies,1
felony,8
felt,52
female,15
fen,3
fence,13
fences,4
fencing,2
fend,19
fender,3
fennell,14
fenosa,14
fentergy,2
ferc,1900
fercs,3
fergus,12
ferguson,16
fernandez,1
fernando,11
fernley,9
ferociously,1
ferocity,1
ferrara,1
ferrari,1
ferret,3
ferreting,2
ferri,3
ferrous,1
ferry,2
fertilization,7
fertitta,2
fervor,1
fessler,5
fester,8
festival,8
festooned,2
fete,2
fetter,10
feuded,1
feuding,1
feuer,7
feuerbacher,1
fever,4
fevereiro,1
feverishly,7
few,443
fewer,78
fewest,5
feygin,2
ffitch,1
fgiffels,14
fgt,1
fiala,16
fialed,1
fialka,3
fiasco,7
fiat,8
fiber,10
fibre,7
fica,2
ficamos,1
fichera,91
fichero,2
ficit,1
fiction,8
fide,4
fidelity,2
fiduciary,6
fiefdoms,1
field,94
fielding,1
fields,35
fierce,9
fiercely,2
fiercest,1
fifteen,9
fifth,21
fifty,3
fight,75
fighter,6
fighters,2
fighting,38
fights,5
figure,109
figured,20
figures,107
figuring,2
file,391
filed,420
files,25
filetime,1
filibuster,1
filing,324
filings,54
fill,62
filled,27
filling,23
fillinger,5
fillings,3
fills,3
film,5
filner,13
filter,3
filters,4
filuntz,17
final,427
finalist,2
finalists,10
finality,3
finalize,9
finalized,15
finalizing,6
finally,100
finalsingh,1
finan,1
finance,222
financed,16
finances,51
financial,875
financially,131
financials,6
